batch,requestIndex,concurrency,latencyMs,outcome,exceptionType,attemptsUsed,retryCount,conflictCount,exhausted,batchElapsedMs
33,3,8,26.007,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.129
33,4,8,26.287,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.129
33,5,8,33.996,SUCCESS,,1,0,0,false,34.129
33,6,8,25.251,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.129
33,7,8,26.632,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.129
34,0,8,31.846,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,38.281
34,1,8,31.832,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,38.281
34,2,8,32.075,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,38.281
34,3,8,32.053,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,38.281
34,4,8,38.210,SUCCESS,,1,0,0,false,38.281
34,5,8,31.942,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,38.281
34,6,8,31.695,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,38.281
34,7,8,31.929,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,38.281
35,0,8,28.756,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.214
35,1,8,28.290,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.214
35,2,8,34.152,SUCCESS,,1,0,0,false,34.214
35,3,8,28.229,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.214
35,4,8,28.220,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.214
35,5,8,27.256,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.214
35,6,8,27.190,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,34.214
